"CRIM";"ZN";"INDUS";"CHAS";"NOX";"RM";"AGE";"DIS";"RAD";"TAX";"PTRATIO";"B";"LSTAT";"MEDV"
6.3200000000000001e-03;1.8000000000000000e+01;2.3100000000000001e+00;0.0000000000000000e+00;5.3800000000000003e-01;6.5750000000000002e+00;6.5200000000000003e+01;4.0899999999999999e+00;1.0000000000000000e+00;2.9600000000000000e+02;1.5300000000000001e+01;3.9689999999999998e+02;4.9800000000000004e+00;2.4000000000000000e+01
2.7310000000000001e-02;0.0000000000000000e+00;7.0700000000000003e+00;0.0000000000000000e+00;4.6899999999999997e-01;6.4210000000000003e+00;7.8900000000000006e+01;4.9671000000000003e+00;2.0000000000000000e+00;2.4200000000000000e+02;1.7800000000000001e+01;3.9689999999999998e+02;9.1400000000000006e+00;2.1600000000000001e+01
2.7289999999999998e-02;0.0000000000000000e+00;7.0700000000000003e+00;0.0000000000000000e+00;4.6899999999999997e-01;7.1849999999999996e+00;6.1100000000000001e+01;4.9671000000000003e+00;2.0000000000000000e+00;2.4200000000000000e+02;1.7800000000000001e+01;3.9282999999999998e+02;4.0300000000000002e+00;3.4700000000000003e+01
3.2370000000000003e-02;0.0000000000000000e+00;2.1800000000000002e+00;0.0000000000000000e+00;4.5800000000000002e-01;6.9980000000000002e+00;4.5799999999999997e+01;6.0621999999999998e+00;3.0000000000000000e+00;2.2200000000000000e+02;1.8699999999999999e+01;3.9463000000000000e+02;2.9399999999999999e+00;3.3399999999999999e+01
6.9050000000000000e-02;0.0000000000000000e+00;2.1800000000000002e+00;0.0000000000000000e+00;4.5800000000000002e-01;7.1470000000000002e+00;5.4200000000000003e+01;6.0621999999999998e+00;3.0000000000000000e+00;2.2200000000000000e+02;1.8699999999999999e+01;3.9689999999999998e+02;5.3300000000000001e+00;3.6200000000000003e+01
2.9850000000000002e-02;0.0000000000000000e+00;2.1800000000000002e+00;0.0000000000000000e+00;4.5800000000000002e-01;6.4299999999999997e+00;5.8700000000000003e+01;6.0621999999999998e+00;3.0000000000000000e+00;2.2200000000000000e+02;1.8699999999999999e+01;3.9412000000000000e+02;5.2100000000000000e+00;2.8699999999999999e+01
8.8289999999999993e-02;1.2500000000000000e+01;7.8700000000000001e+00;0.0000000000000000e+00;5.2400000000000002e-01;6.0119999999999996e+00;6.6599999999999994e+01;5.5605000000000002e+00;5.0000000000000000e+00;3.1100000000000000e+02;1.5199999999999999e+01;3.9560000000000002e+02;1.2430000000000000e+01;2.2899999999999999e+01
1.4455000000000001e-01;1.2500000000000000e+01;7.8700000000000001e+00;0.0000000000000000e+00;5.2400000000000002e-01;6.1719999999999997e+00;9.6099999999999994e+01;5.9504999999999999e+00;5.0000000000000000e+00;3.1100000000000000e+02;1.5199999999999999e+01;3.9689999999999998e+02;1.9149999999999999e+01;2.7100000000000001e+01
2.1124000000000001e-01;1.2500000000000000e+01;7.8700000000000001e+00;0.0000000000000000e+00;5.2400000000000002e-01;5.6310000000000002e+00;1.0000000000000000e+02;6.0820999999999996e+00;5.0000000000000000e+00;3.1100000000000000e+02;1.5199999999999999e+01;3.8663000000000000e+02;2.9930000000000000e+01;1.6500000000000000e+01
1.7004000000000000e-01;1.2500000000000000e+01;7.8700000000000001e+00;0.0000000000000000e+00;5.2400000000000002e-01;6.0039999999999996e+00;8.5900000000000006e+01;6.5921000000000003e+00;5.0000000000000000e+00;3.1100000000000000e+02;1.5199999999999999e+01;3.8670999999999998e+02;1.7100000000000001e+01;1.8899999999999999e+01
2.2489000000000001e-01;1.2500000000000000e+01;7.8700000000000001e+00;0.0000000000000000e+00;5.2400000000000002e-01;6.3769999999999998e+00;9.4299999999999997e+01;6.3467000000000002e+00;5.0000000000000000e+00;3.1100000000000000e+02;1.5199999999999999e+01;3.9251999999999998e+02;2.0449999999999999e+01;1.5000000000000000e+01
1.1747000000000000e-01;1.2500000000000000e+01;7.8700000000000001e+00;0.0000000000000000e+00;5.2400000000000002e-01;6.0090000000000003e+00;8.2900000000000006e+01;6.2267000000000001e+00;5.0000000000000000e+00;3.1100000000000000e+02;1.5199999999999999e+01;3.9689999999999998e+02;1.3270000000000000e+01;1.8899999999999999e+01
9.3780000000000002e-02;1.2500000000000000e+01;7.8700000000000001e+00;0.0000000000000000e+00;5.2400000000000002e-01;5.8890000000000002e+00;3.9000000000000000e+01;5.4508999999999999e+00;5.0000000000000000e+00;3.1100000000000000e+02;1.5199999999999999e+01;3.9050000000000000e+02;1.5710000000000001e+01;2.1699999999999999e+01
6.2975999999999999e-01;0.0000000000000000e+00;8.1400000000000006e+00;0.0000000000000000e+00;5.3800000000000003e-01;5.9489999999999998e+00;6.1799999999999997e+01;4.7074999999999996e+00;4.0000000000000000e+00;3.0700000000000000e+02;2.1000000000000000e+01;3.9689999999999998e+02;8.2599999999999998e+00;2.0399999999999999e+01
6.3795999999999997e-01;0.0000000000000000e+00;8.1400000000000006e+00;0.0000000000000000e+00;5.3800000000000003e-01;6.0960000000000001e+00;8.4500000000000000e+01;4.4619000000000000e+00;4.0000000000000000e+00;3.0700000000000000e+02;2.1000000000000000e+01;3.8001999999999998e+02;1.0260000000000000e+01;1.8199999999999999e+01
6.2739000000000000e-01;0.0000000000000000e+00;8.1400000000000006e+00;0.0000000000000000e+00;5.3800000000000003e-01;5.8339999999999996e+00;5.6500000000000000e+01;4.4985999999999997e+00;4.0000000000000000e+00;3.0700000000000000e+02;2.1000000000000000e+01;3.9562000000000000e+02;8.4700000000000006e+00;1.9899999999999999e+01
1.0539300000000000e+00;0.0000000000000000e+00;8.1400000000000006e+00;0.0000000000000000e+00;5.3800000000000003e-01;5.9349999999999996e+00;2.9300000000000001e+01;4.4985999999999997e+00;4.0000000000000000e+00;3.0700000000000000e+02;2.1000000000000000e+01;3.8685000000000002e+02;6.5800000000000001e+00;2.3100000000000001e+01
7.8420000000000001e-01;0.0000000000000000e+00;8.1400000000000006e+00;0.0000000000000000e+00;5.3800000000000003e-01;5.9900000000000002e+00;8.1700000000000003e+01;4.2579000000000002e+00;4.0000000000000000e+00;3.0700000000000000e+02;2.1000000000000000e+01;3.8675000000000000e+02;1.4670000000000000e+01;1.7500000000000000e+01
8.0271000000000003e-01;0.0000000000000000e+00;8.1400000000000006e+00;0.0000000000000000e+00;5.3800000000000003e-01;5.4560000000000004e+00;3.6600000000000001e+01;3.7965000000000000e+00;4.0000000000000000e+00;3.0700000000000000e+02;2.1000000000000000e+01;2.8899000000000001e+02;1.1690000000000000e+01;2.0199999999999999e+01
7.2580000000000000e-01;0.0000000000000000e+00;8.1400000000000006e+00;0.0000000000000000e+00;5.3800000000000003e-01;5.7270000000000003e+00;6.9500000000000000e+01;3.7965000000000000e+00;4.0000000000000000e+00;3.0700000000000000e+02;2.1000000000000000e+01;3.9094999999999999e+02;1.1279999999999999e+01;1.8199999999999999e+01
1.2517900000000000e+00;0.0000000000000000e+00;8.1400000000000006e+00;0.0000000000000000e+00;5.3800000000000003e-01;5.5700000000000003e+00;9.8099999999999994e+01;3.7978999999999998e+00;4.0000000000000000e+00;3.0700000000000000e+02;2.1000000000000000e+01;3.7656999999999999e+02;2.1020000000000000e+01;1.3600000000000000e+01
8.5204000000000002e-01;0.0000000000000000e+00;8.1400000000000006e+00;0.0000000000000000e+00;5.3800000000000003e-01;5.9649999999999999e+00;8.9200000000000003e+01;4.0122999999999998e+00;4.0000000000000000e+00;3.0700000000000000e+02;2.1000000000000000e+01;3.9252999999999997e+02;1.3830000000000000e+01;1.9600000000000001e+01
1.2324700000000000e+00;0.0000000000000000e+00;8.1400000000000006e+00;0.0000000000000000e+00;5.3800000000000003e-01;6.1420000000000003e+00;9.1700000000000003e+01;3.9769000000000001e+00;4.0000000000000000e+00;3.0700000000000000e+02;2.1000000000000000e+01;3.9689999999999998e+02;1.8719999999999999e+01;1.5199999999999999e+01
9.8843000000000003e-01;0.0000000000000000e+00;8.1400000000000006e+00;0.0000000000000000e+00;5.3800000000000003e-01;5.8129999999999997e+00;1.0000000000000000e+02;4.0952000000000002e+00;4.0000000000000000e+00;3.0700000000000000e+02;2.1000000000000000e+01;3.9454000000000002e+02;1.9879999999999999e+01;1.4500000000000000e+01
7.5026000000000004e-01;0.0000000000000000e+00;8.1400000000000006e+00;0.0000000000000000e+00;5.3800000000000003e-01;5.9240000000000004e+00;9.4099999999999994e+01;4.3996000000000004e+00;4.0000000000000000e+00;3.0700000000000000e+02;2.1000000000000000e+01;3.9432999999999998e+02;1.6300000000000001e+01;1.5600000000000000e+01
8.4053999999999995e-01;0.0000000000000000e+00;8.1400000000000006e+00;0.0000000000000000e+00;5.3800000000000003e-01;5.5990000000000002e+00;8.5700000000000003e+01;4.4546000000000001e+00;4.0000000000000000e+00;3.0700000000000000e+02;2.1000000000000000e+01;3.0342000000000002e+02;1.6510000000000002e+01;1.3900000000000000e+01
6.7191000000000001e-01;0.0000000000000000e+00;8.1400000000000006e+00;0.0000000000000000e+00;5.3800000000000003e-01;5.8129999999999997e+00;9.0299999999999997e+01;4.6820000000000004e+00;4.0000000000000000e+00;3.0700000000000000e+02;2.1000000000000000e+01;3.7688000000000000e+02;1.4810000000000000e+01;1.6600000000000001e+01
9.5577000000000001e-01;0.0000000000000000e+00;8.1400000000000006e+00;0.0000000000000000e+00;5.3800000000000003e-01;6.0469999999999997e+00;8.8799999999999997e+01;4.4534000000000002e+00;4.0000000000000000e+00;3.0700000000000000e+02;2.1000000000000000e+01;3.0638000000000000e+02;1.7280000000000001e+01;1.4800000000000001e+01
7.7298999999999995e-01;0.0000000000000000e+00;8.1400000000000006e+00;0.0000000000000000e+00;5.3800000000000003e-01;6.4950000000000001e+00;9.4400000000000006e+01;4.4546999999999999e+00;4.0000000000000000e+00;3.0700000000000000e+02;2.1000000000000000e+01;3.8794000000000000e+02;1.2800000000000001e+01;1.8399999999999999e+01
1.0024500000000001e+00;0.0000000000000000e+00;8.1400000000000006e+00;0.0000000000000000e+00;5.3800000000000003e-01;6.6740000000000004e+00;8.7299999999999997e+01;4.2389999999999999e+00;4.0000000000000000e+00;3.0700000000000000e+02;2.1000000000000000e+01;3.8023000000000002e+02;1.1980000000000000e+01;2.1000000000000000e+01
